run_id,producers,consumers,capacity,duration_seconds,effective_ops_per_sec,cycles,instructions,ipc,branches,branch_misses,branch_miss_rate,cache_references,cache_misses,cache_miss_rate,elapsed_seconds
20260412_130551,10,5,32768,1,7608425.31,12361211485,5670505352,0.4587,862340950,8024581,0.009306,113994143,27706401,0.243051,1.007240
20260412_130555,10,6,32768,1,7303295.34,13311523355,6694466496,0.5029,1019655458,6995216,0.006860,132686726,31120819,0.234544,1.007827
20260412_130558,10,7,32768,1,7606477.40,15345563111,7060240735,0.4601,1077654620,8682465,0.008057,139081710,34416521,0.247455,1.007935
20260412_130602,10,8,32768,1,7220468.26,13809206746,6810859960,0.4932,1034139219,6938284,0.006709,131155330,30923325,0.235776,1.008712
20260412_130606,10,9,32768,1,6861485.69,13610764200,6426094353,0.4721,969363863,7223008,0.007451,127318950,30152802,0.236829,1.005932
20260412_130609,10,10,32768,1,7382498.06,13211634787,6943485010,0.5256,1044805995,7382227,0.007066,132963313,32521707,0.244592,1.005824
20260412_130613,10,11,32768,1,7321555.13,11219525859,5647949349,0.5034,859923275,8396091,0.009764,112118887,28116237,0.250772,1.007401
20260412_130616,10,12,32768,1,7378634.18,15319044505,7158605955,0.4673,1089294390,9305274,0.008542,146360590,37899025,0.258943,1.007581
20260412_130620,11,1,32768,1,6729055.90,10904187778,4864600899,0.4461,749040324,8321957,0.011110,97184281,23577811,0.242609,1.006358
20260412_130624,11,2,32768,1,7371164.37,14619578412,6935769004,0.4744,1039813804,9133354,0.008784,131277557,34345842,0.261628,1.007628
20260412_130627,11,3,32768,1,7235430.77,14304537964,6729431958,0.4704,1015287537,9395863,0.009254,124727867,30992991,0.248485,1.006322
20260412_130631,11,4,32768,1,7221852.78,12859370624,6953749156,0.5408,1046798170,7857732,0.007506,128384122,30913061,0.240786,1.005895
20260412_130635,11,5,32768,1,7053852.42,17228688898,7334842651,0.4257,1100564411,9882277,0.008979,154014278,38772334,0.251745,1.007838
20260412_130638,11,6,32768,1,6006142.98,15576430344,6971268966,0.4476,1067694043,9324082,0.008733,142032690,35751530,0.251713,1.007698
20260412_130642,11,7,32768,1,7714496.83,14595808324,7093740007,0.4860,1073433254,9217912,0.008587,141353596,37145257,0.262783,1.005558
20260412_130646,11,8,32768,1,7494251.59,14368507288,6592717303,0.4588,994446078,7717629,0.007761,132565331,33104897,0.249725,1.009911
20260412_130649,11,9,32768,1,7137799.24,13471223527,6538478928,0.4854,980523792,8696793,0.008870,134646321,34346942,0.255090,1.007958
20260412_130653,11,10,32768,1,7669729.18,10787349009,5904809573,0.5474,895093080,6892271,0.007700,113916921,27063272,0.237570,1.007764
20260412_130657,11,11,32768,1,6345398.75,11909390074,6305198550,0.5294,961159937,6531524,0.006795,123696846,28519518,0.230560,1.010151
20260412_130700,11,12,32768,1,6554087.93,12043298986,6464956054,0.5368,979880286,7803871,0.007964,125651841,31045566,0.247076,1.009485
20260412_130704,12,1,32768,1,6998772.53,16114293347,7160071291,0.4443,1078996106,9867359,0.009145,138562635,36224649,0.261432,1.007171
20260412_130707,12,2,32768,1,6979340.09,15296542852,6628522499,0.4333,1007818835,9124885,0.009054,130896351,33925118,0.259175,1.008821
20260412_130711,12,3,32768,1,7375486.63,13853655058,6967156022,0.5029,1062409343,9655868,0.009089,135240794,35156912,0.259958,1.005668
20260412_130715,12,4,32768,1,7155608.37,14992374171,7194076167,0.4798,1089676512,9451485,0.008674,144480420,37005258,0.256126,1.008557
20260412_130718,12,5,32768,1,6827603.41,14890257796,6762147658,0.4541,1023170585,8828409,0.008628,132448028,33511042,0.253013,1.007349
20260412_130722,12,6,32768,1,7021475.99,11626407230,5490426259,0.4722,833016017,9022447,0.010831,110572937,28050433,0.253683,1.006632
20260412_130726,12,7,32768,1,7387768.27,14708279231,6819801483,0.4637,1035136135,9198123,0.008886,133243212,34808702,0.261242,1.007775
20260412_130729,12,8,32768,1,7251812.41,11707481162,5439332112,0.4646,831061284,7279232,0.008759,111906185,26831921,0.239772,1.007767
20260412_130733,12,9,32768,1,7113002.48,12081540462,5911256063,0.4893,901465473,6843119,0.007591,117567514,27573912,0.234537,1.007935
20260412_130737,12,10,32768,1,6541657.06,15613715540,6554772593,0.4198,993616672,8890848,0.008948,137105395,35430880,0.258421,1.013785
20260412_130740,12,11,32768,1,6540212.90,15133906355,6511902916,0.4303,990363013,8389558,0.008471,133858091,33579663,0.250860,1.007616
20260412_130744,12,12,32768,1,6585808.20,12272180549,5740247500,0.4677,865957431,6950967,0.008027,115441086,28090442,0.243331,1.007416
